id	account	char_count	characters
170	vippro03	3	SatThu | upxu0 | upxu1
214	anhemta	3	baby | bamm | bammm
43	zonoxv	2	soiedi | colon
215	suzoxv1	2	king69 | clon2
216	suzoxv2	2	gaplahiep | clon1
217	suzoxv3	2	tieuthu9x | thuy1

